[Sun Oct 19 04:32:27 PM MSK 2025] Скрипт запущен. Группа: system
PID      Name                 cwd                            root                           fd_count       
-----------------------------------------------------------------------------------------------------------
528457   chrome               /home/dima                     /                              271            
528462   cat                  /home/dima                     /                              6              
528463   cat                  /home/dima                     /                              6              
528465   chrome_crashpad      /home/dima                     /                              8              
528467   chrome_crashpad      /home/dima                     /                              6              
528473   chrome               /home/dima                     /                              13             
528474   chrome               /proc/528475/fdinfo            /proc/528475/fdinfo            13             
528476   chrome               /proc/528475/fdinfo            /proc/528475/fdinfo            14             
528505   chrome               /home/dima                     /                              69             
528511   chrome               /home/dima                     /                              36             
528521   chrome               /proc/528475/fdinfo            /proc/528475/fdinfo            38             
528677   chrome               /proc/528475/fdinfo            /proc/528475/fdinfo            23             
528692   chrome               /proc/528475/fdinfo            /proc/528475/fdinfo            68             
528704   chrome               /proc/528475/fdinfo            /proc/528475/fdinfo            43             
528716   chrome               /proc/528475/fdinfo            /proc/528475/fdinfo            32             
528759   chrome               /home/dima                     /                              25             
569832   kworker/u16:3-events_unbound /                              /                              0              
612477   kworker/1:3-cgroup_destroy /                              /                              0              
620505   kworker/3:1-cgroup_destroy /                              /                              0              
629166   kworker/0:1-events   /                              /                              0              
629355   kworker/u16:1-events_unbound /                              /                              0              
630567   kworker/2:2-cgroup_destroy /                              /                              0              
631763   nautilus             /home/dima                     /                              32             
631879   kworker/0:3-rcu_gp   /                              /                              0              
633476   kworker/u16:4-flush-8:0 /                              /                              0              
635399   kworker/0:0-cgroup_destroy /                              /                              0              
635401   kworker/0:2-cgroup_destroy /                              /                              0              
635545   kworker/u16:2-phy0   /                              /                              0              
635546   kworker/u16:5        /                              /                              0              
635682   kworker/3:0          /                              /                              0              
636320   chrome               /proc/528475/fdinfo            /proc/528475/fdinfo            38             
636367   sudo                 /home/dima/probe_git           /                              16             
636368   sudo                 /home/dima/probe_git           /                              17             
636369   proc_group_moni      /home/dima/probe_git           /                              5              

[Sun Oct 19 04:32:29 PM MSK 2025] Скрипт завершён. Новые процессы записаны.
