PID      Name                 max_procs                      mounts                         fd_count       
-----------------------------------------------------------------------------------------------------------
1        systemd              44487                          63                             0              
10       kworker/0:0H-events_highpri 44487                          63                             0              
100      kworker/0:1H-i915_cleanup 44487                          63                             0              
10137    Isolated Servic      44487                          0                              43             
10304    telegram-deskto      44487                          1318                           73             
11073    chrome               44487                          63                             314            
11080    cat                  44487                          63                             6              
11081    cat                  44487                          63                             6              
11083    chrome_crashpad      44487                          63                             8              
11085    chrome_crashpad      44487                          63                             6              
11091    chrome               44487                          63                             13             
11092    chrome               44487                          0                              13             
11094    chrome               44487                          0                              14             
11123    chrome               44487                          63                             116            
11125    chrome               44487                          63                             52             
11136    chrome               44487                          0                              46             
11258    chrome               44487                          0                              23             
11270    chrome               44487                          0                              42             
11326    chrome               44487                          0                              66             
11394    chrome               44487                          0                              67             
11427    chrome               44487                          0                              41             
11535    chrome               44487                          0                              39             
11582    chrome               44487                          63                             25             
11610    chrome               44487                          0                              69             
11639    chrome               44487                          0                              41             
11653    chrome               44487                          0                              46             
12745    code                 44487                          63                             139            
12747    code                 44487                          63                             12             
12748    code                 44487                          63                             12             
12762    chrome_crashpad      44487                          63                             6              
12797    code                 44487                          63                             26             
12829    code                 44487                          63                             56             
12842    code                 44487                          63                             37             
12880    code                 44487                          63                             45             
12881    code                 44487                          63                             48             
12906    code                 44487                          63                             65             
12938    code                 44487                          63                             46             
12981    bash                 44487                          63                             8              
13       kworker/R-mm_percpu_wq 44487                          63                             0              
14       rcu_tasks_kthread    44487                          63                             0              
15       rcu_tasks_rude_kthread 44487                          63                             0              
1515     avahi-daemon         44487                          0                              0              
1516     dbus-daemon          44487                          63                             0              
1520     gnome-remote-de      44487                          63                             0              
1528     polkitd              44487                          85                             0              
153      kworker/2:1H-i915_cleanup 44487                          63                             0              
154      kworker/1:1H-i915_cleanup 44487                          63                             0              
1541     snapd                44487                          63                             0              
1542     accounts-daemon      44487                          83                             0              
1543     switcheroo-cont      44487                          64                             0              
1548     systemd-logind       44487                          75                             0              
1550     systemd-machine      44487                          63                             0              
1551     thermald             44487                          63                             0              
1554     udisksd              44487                          63                             0              
1558     virtlockd            44487                          63                             0              
1572     virtlogd             44487                          76                             0              
1588     avahi-daemon         44487                          63                             0              
16       rcu_tasks_trace_kthread 44487                          63                             0              
1620     rsyslogd             44487                          63                             0              
1646     NetworkManager       44487                          68                             0              
1647     wpa_supplicant       44487                          63                             0              
168      scsi_eh_0            44487                          63                             0              
17       ksoftirqd/0          44487                          63                             0              
170      kworker/R-scsi_tmf_0 44487                          63                             0              
171      scsi_eh_1            44487                          63                             0              
172      kworker/R-scsi_tmf_1 44487                          63                             0              
1721     ModemManager         44487                          66                             0              
175      scsi_eh_2            44487                          63                             0              
177      kworker/R-scsi_tmf_2 44487                          63                             0              
18       rcu_preempt          44487                          63                             0              
181      kworker/R-sdhci      44487                          63                             0              
18141    gnome-terminal-      44487                          63                             21             
18148    bash                 44487                          63                             4              
182      irq/18-mmc0          44487                          63                             0              
18223    kworker/u17:1-i915_flip 44487                          63                             0              
184      scsi_eh_3            44487                          63                             0              
1845     hwrng                44487                          63                             0              
18457    jbd2/sdb-8           44487                          63                             0              
18458    kworker/R-ext4-rsv-conversion 44487                          63                             0              
1847     cupsd                44487                          63                             0              
185      kworker/R-scsi_tmf_3 44487                          63                             0              
1850     unattended-upgr      44487                          63                             0              
